CALENDAR_C;HOLIDAY_D;GLOBAL_F
JPY       ;2022-09-19;0
JPY       ;2022-09-23;0
JPY       ;2022-10-10;0
JPY       ;2022-11-03;0
JPY       ;2022-11-23;0
JPY       ;2022-12-23;0
JPY       ;2022-12-31;0
JPY       ;2023-01-01;0
JPY       ;2023-01-02;0
JPY       ;2023-01-03;0
JPY       ;2023-01-09;0
JPY       ;2023-02-11;0
JPY       ;2023-02-23;0
JPY       ;2023-03-21;0
JPY       ;2023-04-29;0
JPY       ;2023-05-03;0
JPY       ;2023-05-04;0
JPY       ;2023-05-05;0
JPY       ;2023-07-17;0
JPY       ;2023-08-11;0
JPY       ;2023-09-18;0
JPY       ;2023-09-23;0
JPY       ;2023-10-09;0
JPY       ;2023-11-03;0
JPY       ;2023-11-23;0
JPY       ;2023-12-31;0
JPY       ;2024-01-01;0
JPY       ;2024-01-02;0
JPY       ;2024-01-03;0
JPY       ;2024-01-08;0
JPY       ;2024-02-12;0
JPY       ;2024-02-23;0
JPY       ;2024-03-20;0
JPY       ;2024-04-29;0
JPY       ;2024-05-03;0
JPY       ;2024-05-06;0
JPY       ;2024-07-15;0
JPY       ;2024-08-12;0
JPY       ;2024-09-16;0
JPY       ;2024-09-23;0
JPY       ;2024-10-14;0
JPY       ;2024-11-04;0
JPY       ;2024-12-31;0
HKD       ;2009-01-01;0
HKD       ;2009-01-26;0
HKD       ;2009-01-27;0
HKD       ;2009-01-28;0
HKD       ;2009-04-04;0
HKD       ;2009-04-10;0
HKD       ;2009-04-11;0
HKD       ;2009-04-13;0
HKD       ;2009-05-01;0
HKD       ;2009-05-02;0
HKD       ;2009-05-28;0
HKD       ;2009-07-01;0
HKD       ;2009-10-01;0
HKD       ;2009-10-03;0
HKD       ;2009-10-26;0
HKD       ;2009-12-25;0
HKD       ;2009-12-26;0
HKD       ;2010-01-01;0
HKD       ;2010-02-13;0
HKD       ;2010-02-15;0
HKD       ;2010-02-16;0
HKD       ;2010-04-02;0
HKD       ;2010-04-03;0
HKD       ;2010-04-05;0
HKD       ;2010-04-06;0
HKD       ;2010-05-01;0
HKD       ;2010-05-21;0
HKD       ;2010-06-16;0
HKD       ;2010-07-01;0
HKD       ;2010-09-23;0
HKD       ;2010-10-01;0
HKD       ;2010-10-16;0
HKD       ;2010-12-25;0
HKD       ;2010-12-27;0
HKD       ;2011-01-01;0
HKD       ;2011-02-03;0
HKD       ;2011-02-04;0
HKD       ;2011-02-05;0
HKD       ;2011-04-05;0
HKD       ;2011-04-22;0
HKD       ;2011-04-23;0
HKD       ;2011-04-25;0
HKD       ;2011-05-02;0
HKD       ;2011-05-10;0
HKD       ;2011-06-06;0
HKD       ;2011-07-01;0
HKD       ;2011-09-13;0
HKD       ;2011-10-01;0
HKD       ;2011-10-05;0
HKD       ;2011-12-26;0
HKD       ;2011-12-27;0
HKD       ;2012-01-02;0
HKD       ;2012-01-23;0
HKD       ;2012-01-24;0
HKD       ;2012-01-25;0
HKD       ;2012-04-04;0
HKD       ;2012-04-06;0
HKD       ;2012-04-07;0
HKD       ;2012-04-09;0
HKD       ;2012-04-28;0
HKD       ;2012-05-01;0
HKD       ;2012-06-23;0
HKD       ;2012-07-02;0
HKD       ;2012-10-01;0
HKD       ;2012-10-02;0
HKD       ;2012-10-23;0
HKD       ;2012-12-25;0
HKD       ;2012-12-26;0
HKD       ;2013-01-01;0
HKD       ;2013-02-10;0
HKD       ;2013-02-11;0
HKD       ;2013-02-12;0
HKD       ;2013-02-13;0
HKD       ;2013-03-29;0
HKD       ;2013-03-30;0
HKD       ;2013-04-01;0
HKD       ;2013-04-04;0
